Minisector,VER,RAI,Fastest
0,299.38985811855906,327.1565733116949,RAI
1,232.77819925210332,225.13508566936534,VER
2,145.85752875365364,130.93833792289976,VER
3,226.2993035199823,221.0607316474277,VER
4,265.68559146564326,265.84619328164945,RAI
5,288.57849752688765,297.3308627696749,RAI
6,301.5858634694735,319.3068507149514,RAI
7,278.16715946666665,262.1101692134554,VER
8,181.9361517602096,167.8099957815306,VER
9,246.39267639258853,242.67291685925926,VER
10,276.93487023058356,276.83385113762324,VER
11,271.0436795620214,255.05143620322835,VER
12,218.0600040879023,204.0065147089593,VER
13,135.78010992535638,124.84353092241953,VER
14,134.33396906077922,125.77507189404369,VER
15,166.91426992304028,155.26605557017606,VER
16,130.69690645369062,129.22509498143077,VER
17,235.17026572923973,235.42579612975695,RAI
18,190.6671044448127,169.02934653252746,VER
19,172.5939828354786,170.9474662598647,VER
20,251.73602494187284,252.42510535450472,RAI
21,280.68998715226274,280.32541093605295,VER
22,293.7989578666667,297.8645568816711,RAI
23,302.25019820130694,313.22639966776626,RAI
24,304.76999992888886,323.02867727800464,RAI
25,306.0,,VER
