Minisector,VET,NOR,Fastest
0,275.1530145527869,272.86776714438355,VET
1,293.12090204105556,292.0264387365086,VET
2,301.05315035967084,300.33496243775477,VET
3,134.95808639117212,127.89655893251745,VET
4,199.45684570583168,194.74617766545737,VET
5,263.3167495444524,259.7367348714276,VET
6,140.3650821326258,139.06017263750454,VET
7,210.79891108123613,208.16062211136583,VET
8,265.02055320820705,263.21734545188485,VET
9,286.9517879408678,283.44748629851136,VET
10,249.10340754861824,234.8527403372361,VET
11,183.77923701066362,175.37357630523368,VET
12,194.03290036946822,194.56547937352215,NOR
13,146.7778198904444,138.25193597057032,VET
14,175.16377011404708,170.741941381427,VET
15,164.36238193228792,157.10974080210113,VET
16,218.89964019820982,223.9018104621783,NOR
17,237.97149450450289,236.0240475203109,VET
18,242.16769643510318,243.1711851339825,NOR
19,251.52994562238297,227.9951584223548,VET
20,145.27391203439547,145.35265012257668,NOR
21,137.9783427604512,129.49985182104018,VET
22,170.95686900045732,172.90190917489846,NOR
23,151.99707970161126,151.0142754334117,VET
24,235.5700788462725,236.03796554186675,NOR
