Minisector,RUS,GAS,Fastest
0,296.1496685717749,303.78541613534566,GAS
1,299.36093753333336,322.30316272064726,GAS
2,276.1224825596922,301.2373884857143,GAS
3,108.21358784741,112.01793835914064,GAS
4,219.76927505326444,219.04902798475777,RUS
5,272.1172321968254,272.1445567434113,GAS
6,207.26261898675423,205.89759350688465,RUS
7,157.44556228062558,158.35875218439634,GAS
8,189.35824688536798,210.90300721435744,GAS
9,199.81961607240828,215.6876058420148,GAS
10,114.00367002267217,118.62411029915866,GAS
11,227.97876563352892,221.4652508997531,RUS
12,115.41896257243158,126.0237520880223,GAS
13,220.67226481828595,219.53962240335244,RUS
14,273.27191944746164,264.9555269659864,RUS
15,208.46810884181298,219.57564068820272,GAS
16,179.4970223819285,187.61367739022222,GAS
17,233.06287676185164,245.83606580402724,GAS
18,193.94137608100755,201.529054432,GAS
19,181.9094695589787,181.4328941517631,RUS
20,265.80354235844146,260.33968928198755,RUS
21,293.1216072,285.29358571959597,RUS
22,163.06099579334196,166.6180382239923,GAS
23,208.516257447696,204.91914496749857,RUS
24,275.24104787206346,270.13901139978833,RUS
25,,283.0,GAS
