Minisector,RAI,GRO,Fastest
0,298.97537429036544,288.6389498408931,RAI
1,251.5673828038095,242.5623397340412,RAI
2,271.2811126542837,270.1707332558378,RAI
3,297.0690674611527,291.29398325692694,RAI
4,132.62440005553606,126.28526380385998,RAI
5,215.6645132292957,209.45971243163967,RAI
6,273.0342389210576,271.412503696337,RAI
7,292.78068864702425,299.88234740633914,GRO
8,301.5750637720277,313.689450203486,GRO
9,304.7836697872114,321.93452256969874,GRO
10,287.7360290365669,307.1514184620173,GRO
11,104.20132185326486,104.31795804926095,GRO
12,229.4832770174049,218.34949959965468,RAI
13,278.1553240822032,271.67798301810456,RAI
14,269.8156450354924,272.8046362566167,GRO
15,130.99331699214576,132.21100523069342,GRO
16,211.87995809431578,205.8324823309482,RAI
17,262.6019505354497,256.8557839527169,RAI
18,245.88187519029208,257.0576335591139,GRO
19,242.5552422263716,243.62326046906435,GRO
20,150.87442057067398,151.95090352008123,GRO
21,194.51851184900954,186.9847505909041,RAI
22,179.11247369766247,173.69656791798437,RAI
23,195.2077342527624,186.02814817997393,RAI
24,257.44605500841095,248.53499615446464,RAI
25,,276.08368305708905,GRO
