Minisector,BOT,NOR,Fastest
0,284.90979168,290.3508853439891,NOR
1,289.74861112865307,293.98530756491226,NOR
2,174.89635493333333,161.00748405814335,BOT
3,218.44904952421118,221.66144579079025,NOR
4,268.10392871619047,270.5184090032307,NOR
5,288.46754380350876,287.2739036310777,BOT
6,289.4236911077918,286.01638472982455,BOT
7,177.27056571182794,181.13004425851483,NOR
8,122.33766052603069,122.45308413708716,NOR
9,245.9384930668759,246.9465772315315,NOR
10,281.5187752682078,280.34224373998495,BOT
11,289.055044154386,285.1342593185185,BOT
12,148.4255440496996,150.95077047041738,NOR
13,190.69613108571428,188.2830128056923,BOT
14,252.64642854603176,254.26704814712755,NOR
15,208.39737622286296,195.40233570679882,BOT
16,212.217787654807,215.1202930348836,NOR
17,217.07882164762978,213.31676643809524,BOT
18,242.10032454372293,244.2339889910008,NOR
19,272.81418561048685,276.71111202215843,NOR
20,289.50865006988516,290.2244708740741,NOR
21,268.8737499733333,265.994029911133,BOT
22,228.02980050047552,227.3190850297104,BOT
23,203.2070704151324,202.79321683488993,BOT
24,260.54412883364995,262.0431807259546,NOR
25,,279.66250026666665,NOR
