Minisector,BOT,HAM,Fastest
0,287.553081707563,306.24619420270193,HAM
1,136.2684770995889,140.382861059944,HAM
2,155.52211814632577,136.2018933010101,BOT
3,223.8990559080015,228.39116234817243,HAM
4,167.38339763451478,158.13160889064036,BOT
5,245.47896719555692,241.34079296628897,BOT
6,225.00416789333335,234.22639827208656,HAM
7,138.1612749490196,135.67555385833333,BOT
8,235.12416602666667,234.46041599999998,BOT
9,277.2435112346717,277.57083306666664,HAM
10,286.45807386666667,295.28271932235833,HAM
11,151.9737194961511,154.59284363870967,HAM
12,220.56541685333332,213.55105814862816,BOT
13,270.65980878127954,268.8919266666667,BOT
14,272.75882202352943,280.9000139958032,HAM
15,105.50541804657988,101.83525803615242,BOT
16,218.5573684182224,214.15521797970771,BOT
17,271.27968516285944,274.5164562464986,HAM
18,293.1841148,302.8672498391813,HAM
19,304.5282937498413,320.13303596190474,HAM
20,310.9295771270296,329.24464281904767,HAM
21,295.0631298761905,304.0502092234967,HAM
22,157.24515371556672,153.85174579809524,BOT
23,232.5189359458854,234.78689493816378,HAM
24,276.56586178151264,285.36190497703086,HAM
25,287.14285714285717,,BOT
