Minisector,PIA,SAI,Fastest
0,280.6564407901821,284.1770969025451,SAI
1,144.48253152200343,148.9863135468998,SAI
2,173.04353611917287,157.69062967858906,PIA
3,245.16478699359305,241.95865671143892,PIA
4,265.8651483679481,263.0221173625859,PIA
5,233.62794727009523,230.37855824516694,PIA
6,213.67992098344817,205.20320671497024,PIA
7,145.680931758557,138.11101097164212,PIA
8,226.58418932465457,228.88232389438423,SAI
9,297.890006321207,297.98178396645505,SAI
10,319.68921594472,320.6929686166667,SAI
11,317.5795049584541,320.2202384800436,SAI
12,310.40809946326823,313.7951339085714,SAI
13,305.1647382829329,308.60457868883117,SAI
14,124.90515872921749,126.57798024582091,SAI
15,119.93053665269564,116.90337762297415,PIA
16,104.09452662443785,102.74078680971976,PIA
17,239.29787287238244,238.19559790976433,PIA
18,303.64756201379316,302.83766929862713,PIA
19,322.11592244705884,318.82318147369836,PIA
20,321.85768775306826,316.3090686745098,PIA
21,315.4691607828571,313.91693146134355,PIA
22,115.42304142454945,113.92661701563969,PIA
23,210.11380937477773,207.35456526406924,PIA
24,273.6965995699501,270.16122842242686,PIA
25,286.2,,PIA
