Minisector,PER,LEC,Fastest
0,261.78073496088695,263.4322802365915,LEC
1,280.33420715411256,278.842438330005,PER
2,288.02253811266274,284.0041207851313,PER
3,127.11930908571321,135.02600406235544,LEC
4,193.5457855256316,187.70623632539363,PER
5,247.5224866783657,251.92085026184128,LEC
6,136.7932607047104,138.92458974544832,LEC
7,198.10773727502223,213.6993705528889,LEC
8,256.36022638108136,255.31718365579832,PER
9,276.8494119715738,275.6696048617544,PER
10,227.87449237656568,228.95377779402057,LEC
11,179.37560072613132,176.61188423506172,PER
12,186.28874105755153,190.08567519006735,LEC
13,140.11568662716041,136.89634170683158,PER
14,171.27517855610924,173.65543643260384,LEC
15,156.09730204629582,156.9004830996682,LEC
16,213.9933366828623,212.0465218634383,PER
17,228.16139726666665,227.4888662349206,PER
18,228.43034403555555,237.0043501159301,LEC
19,243.29915538644912,240.24048957540518,PER
20,145.87314706407113,143.49662866010152,PER
21,138.63473105809996,138.87122782561826,LEC
22,165.23114198162963,163.68599605255275,PER
23,146.3419403525541,147.86212461067424,LEC
24,225.0974142143733,223.3876175569358,PER
25,248.76388622222223,249.2499977142857,LEC
