Minisector,OCO,ALO,Fastest
0,317.55666613333335,314.99237633949963,OCO
1,329.25019495416444,321.7985291921569,OCO
2,335.0196759703704,319.5943123386244,OCO
3,222.14407216410257,232.5354461591084,ALO
4,224.550350288276,232.69626212571427,ALO
5,113.11858225613925,114.76774099965452,ALO
6,212.3617548952381,214.36000916095247,ALO
7,264.3948406349206,266.83406740194744,ALO
8,224.92466998921378,237.89097519999999,ALO
9,115.74138267354448,114.92714588015973,OCO
10,232.26583244190476,232.73698413244932,ALO
11,243.49891334492753,256.4068844521739,ALO
12,135.12698883809523,136.17597224379523,ALO
13,210.85333892563827,217.54159615531137,ALO
14,266.1826294372294,271.7113914054909,ALO
15,219.88905340613758,219.2264905084249,OCO
16,156.8003459259259,160.47756154497355,ALO
17,234.78990262046298,244.4597216,ALO
18,123.43654949487727,122.02833700617663,OCO
19,144.99177115047618,142.3839518410427,OCO
20,189.14095711031385,188.53472035555555,OCO
21,254.52800140455486,259.70988534989647,ALO
22,273.3254972140888,276.5440474412698,ALO
23,282.20456335238094,283.19687472,ALO
24,292.08832177052153,293.5731247787728,ALO
