Minisector,PIA,NOR,Fastest
0,310.0209625242236,319.71333023084173,NOR
1,240.03435913982923,236.54609791353536,PIA
2,130.28995513843418,132.16485157321364,NOR
3,231.03178681360546,236.94886500097354,NOR
4,193.14546252290194,197.39010233167434,NOR
5,250.12198812380953,249.53496357506032,PIA
6,233.88423646875128,230.68742944981838,PIA
7,258.81795003768985,261.0129946962932,NOR
8,295.57988856238734,291.47561670826667,PIA
9,198.54617597247537,194.862828444676,PIA
10,204.51210004667408,214.1153908364769,NOR
11,276.0991234871593,269.97983926423876,PIA
12,218.37568466732785,214.13564828413655,PIA
13,255.10585581230302,258.07655699314336,NOR
14,294.69386458882786,296.5327692047619,NOR
15,312.19211518499276,309.6292641595291,PIA
16,312.083682837458,302.0899556169571,PIA
17,205.32576793333465,199.52268445803838,PIA
18,263.4477814493531,266.750249449418,NOR
19,299.3147245845749,300.0829663520341,NOR
20,313.3263911068783,310.2722342763285,PIA
21,312.7057183238095,302.69517967457676,PIA
22,147.52976872327685,152.67505397277907,NOR
23,234.9692699875329,240.19772990412736,NOR
24,289.12884749150413,291.063888952381,NOR
