Minisector,BOT,HAR,Fastest
0,284.78601239520214,285.28506646293266,HAR
1,258.74786816609424,246.50382802118708,BOT
2,275.2531876560854,268.74771774814815,BOT
3,280.15973419104336,282.94511942019665,HAR
4,135.25822159333632,125.39269691186894,BOT
5,210.95315632284513,214.45699435002754,HAR
6,266.2159702921674,266.34476630711777,HAR
7,287.8552565937721,288.51285412346226,HAR
8,296.92896188047285,297.7502451956454,HAR
9,300.99509020061737,303.391927,HAR
10,277.8411443294487,289.15379373525604,HAR
11,100.49598661898544,101.18897990735276,HAR
12,223.8300730935058,223.02248906920906,BOT
13,273.63940308247396,271.8031469743724,BOT
14,273.84120258510586,268.53132219565805,BOT
15,135.35550602603155,132.18988344772438,BOT
16,215.35019891241546,208.98310800813292,BOT
17,263.0778864558997,258.0384964767206,BOT
18,259.3857403541403,256.7521109953382,BOT
19,250.55233379218598,244.97189368711187,BOT
20,152.48152445414914,142.0988861566106,BOT
21,191.99278572647378,193.40151619960972,HAR
22,188.1456455061967,171.3332747073273,BOT
23,201.8916632446017,186.72764771664293,BOT
24,257.60554044628424,250.136646249135,BOT
25,,272.0,HAR
