Minisector,LAW,BEA,Fastest
0,274.61626795497835,275.261686188176,BEA
1,113.43331477317611,125.72208120218143,BEA
2,164.76653837724052,163.4449149103705,LAW
3,205.89991810561767,201.49213202303366,LAW
4,157.7703462087619,156.32273345098287,LAW
5,239.8595680222449,228.65522054297833,LAW
6,201.01831974730158,193.15219944936376,LAW
7,130.9023654966717,130.3720039807664,LAW
8,243.50173056493824,241.90376560561808,LAW
9,284.76188595899157,281.61996385753315,LAW
10,274.0422900111525,284.77069264069263,BEA
11,148.49150190044443,148.4369319386174,LAW
12,224.77523943957672,214.90832242283125,LAW
13,276.97013942222225,274.33773856378616,LAW
14,227.05491946092778,263.589161642567,BEA
15,98.85450420945891,97.98538304562513,LAW
16,230.5484219920468,224.81874885520446,LAW
17,287.2817238789916,285.33301240261375,LAW
18,315.55608256866356,309.1012275333333,LAW
19,324.0856260893737,310.2109710550887,LAW
20,315.66619009406594,302.8301893001221,LAW
21,286.73657792174606,276.96781036032843,LAW
22,152.65869879711704,154.7438961265448,BEA
23,242.64196349614053,232.70509982420782,LAW
24,273.93329272387217,278.7502536525974,BEA
25,,282.0,BEA
