Minisector,VER,KUB,Fastest
0,277.5088783352092,278.2223311213078,KUB
1,241.8477544291957,240.1629154578626,VER
2,264.80592553823317,264.90117955440155,KUB
3,281.3579649008158,280.2075413430293,VER
4,133.67244795003026,121.42461392463332,VER
5,211.9795670662673,210.60787918006395,VER
6,268.31837621179517,264.66653620805374,VER
7,287.6472222222222,287.0203236773808,VER
8,296.28850768829705,296.5557292,KUB
9,298.52369707779656,299.27407407407406,KUB
10,280.05392156862746,273.8216522803024,VER
11,106.19464345083912,97.36168331274594,VER
12,223.24342251838561,220.04064924500457,VER
13,268.8189567997484,265.68204831023746,VER
14,268.98267649122806,263.19233535923,VER
15,135.28784441654886,125.24888148956195,VER
16,209.6988365305663,201.7980094380676,VER
17,257.631071711443,255.37832569315074,VER
18,257.5799420338555,248.844249394317,VER
19,246.08893182288588,248.0291907944224,KUB
20,154.59263135537128,147.86231119227455,VER
21,198.47707131271633,190.69859165338067,VER
22,178.82554877583055,161.9256831923788,VER
23,195.7765801953674,186.09103548889993,VER
24,251.12575314666137,249.68150263591014,VER
25,268.46024980907094,,VER
