Minisector,LEC,BEA,Fastest
0,302.9067644844942,302.3240396547952,LEC
1,239.8169986001867,225.20477670445212,LEC
2,132.78672032734076,131.7889340802278,LEC
3,237.67911572898635,235.2996773827119,LEC
4,195.266560338831,196.94599408981458,BEA
5,245.15857115245822,250.15401186478985,BEA
6,233.9853719460616,235.83983075100167,BEA
7,257.9298322827862,258.26833339863947,BEA
8,293.0804806929381,290.7587892248196,LEC
9,204.0264164982146,201.5922338962963,LEC
10,210.66055894863788,207.36353958415495,LEC
11,276.9426255312842,275.4874701076276,LEC
12,214.30604636607654,213.1910940090428,LEC
13,255.311126984127,252.24721436931156,LEC
14,293.3960408584127,292.3534091151515,LEC
15,315.78112193362193,306.8851617209812,LEC
16,324.2403736865801,312.4372727272727,LEC
17,215.94250102951594,212.1758691910394,LEC
18,262.27138598857965,260.5361341356133,LEC
19,293.0420192615385,294.3011030008305,BEA
20,306.75241916836944,308.9212599206349,BEA
21,311.8580246644712,313.20920094962696,BEA
22,157.07716400565457,156.10720578944697,LEC
23,235.27755707541448,231.43332269335903,LEC
24,279.8607446323451,281.565385291917,BEA
25,287.2499986285714,289.30465947847534,BEA
