Minisector,PIA,LAW,Fastest
0,311.9285502630767,311.18067162642666,PIA
1,325.3626397025571,326.25119779952496,LAW
2,330.4895725873555,331.26356269286555,LAW
3,309.43756640699905,300.67936630717685,PIA
4,152.04591849456565,147.41896737758296,PIA
5,188.0227116693081,183.1823863556729,PIA
6,214.5399684065483,208.29910065789943,PIA
7,258.64938255530427,258.3430673318032,PIA
8,232.33484158640366,223.74029236324526,PIA
9,152.8992244157811,144.10335363441925,PIA
10,210.2783751525869,196.19897868573855,PIA
11,119.38070922882538,119.37329189923877,PIA
12,233.77940296858242,233.4645852367231,PIA
13,159.53075326930414,169.15387272911872,LAW
14,207.74535627400684,207.06695703756085,PIA
15,217.0384439092769,215.92717000714376,PIA
16,257.11083645873896,251.57999009723437,PIA
17,285.65502311024835,288.27040832247087,LAW
18,139.51376146033414,138.8541101227664,PIA
19,157.29352413215386,150.31072581313705,PIA
20,135.08286824109157,127.895653520198,PIA
21,223.4232132126051,219.06811181568438,PIA
22,249.57755029659816,247.27637555569063,PIA
23,232.7383211696549,220.16205528897646,PIA
24,281.5413352543797,277.53719308451423,PIA
25,,300.4267791210945,LAW
