Minisector,GAS,VER,Fastest
0,306.29041849007626,307.079594935456,VER
1,313.3722544857143,328.43862444021164,VER
2,305.44756932664995,317.96822894102445,VER
3,183.15779507926555,170.75599421530765,GAS
4,213.73297296534443,212.73317127036478,GAS
5,194.2750220080022,191.54289015770172,GAS
6,177.92708535140807,177.85275971824035,GAS
7,206.17589535183427,204.08935100043595,GAS
8,253.12258874305252,256.0475649014066,VER
9,248.70173845622529,250.49977279303664,VER
10,171.4006473946903,165.2775719933634,GAS
11,231.68870977738766,231.42016531967158,GAS
12,122.77509466598777,126.95048189080025,VER
13,236.83218761488936,237.35565774687134,VER
14,275.63446122221137,277.76767397483405,VER
15,273.71936872242424,273.44949135376623,GAS
16,203.99862918439106,199.54948766880193,GAS
17,198.68281831909297,192.69510452718134,GAS
18,287.996551042384,290.55738962726514,VER
19,317.4984032859504,322.50781256319283,VER
20,317.24184777563573,324.13197424454063,VER
21,296.9725861954579,300.9810842720981,VER
22,255.38104302886447,253.9867274273964,GAS
23,124.12662463311571,123.48224325429064,GAS
24,248.12072816410256,251.3488531378207,VER
25,291.34000128,,GAS
