Minisector,VER,HUL,Fastest
0,261.76529527429415,258.90984842256256,VER
1,297.31357649642706,295.01342259809525,VER
2,157.2879170882447,162.80986946831015,HUL
3,165.28229071372547,171.18014782745098,HUL
4,260.9732076417577,262.40258865094154,HUL
5,270.5561013587302,269.4375001212121,VER
6,227.59262752029136,218.90134965423482,VER
7,205.32310786394558,193.506921944086,VER
8,160.77241441625372,150.61500901070752,VER
9,234.97370346153096,220.62326559783313,VER
10,275.729545939394,277.7781464671202,HUL
11,119.30156783491259,121.31793131891793,HUL
12,223.1328055032967,219.99416869396734,VER
13,275.43736906671614,282.91607172063493,HUL
14,293.3405699368421,311.62750673483714,HUL
15,295.78968253968253,319.80555555555554,HUL
16,210.44030272451496,239.3959922051282,HUL
17,133.82170724532563,135.9851789616393,HUL
18,140.19329524248238,136.00164670096552,VER
19,123.25601052865358,124.74310970835198,HUL
20,229.33133282133335,224.40069515213676,VER
21,255.87365842093104,251.6633230498313,VER
22,235.5508217715928,238.40178782215477,HUL
23,219.6822524205128,217.11619495907675,VER
24,148.08898836825398,139.6156162901379,VER
25,,220.4562512,HUL
