Minisector,VER,RAI,Fastest
0,303.05666678303027,308.40479175111113,RAI
1,257.992856431746,254.91654167869717,VER
2,199.68816607810137,204.1495007066052,RAI
3,265.47665068051947,267.26547479307476,RAI
4,232.7943913698237,233.4930132635246,RAI
5,120.75384998829102,120.60710753210238,VER
6,181.78703893692278,176.63992254920512,VER
7,258.9434609527308,258.8151468157006,VER
8,291.6561984088598,289.688094831746,VER
9,306.7149802920635,302.6401017078748,VER
10,314.0278509313283,307.2693273261237,VER
11,226.65566623452096,231.83295850196532,RAI
12,151.96545854345146,148.24332362314144,VER
13,260.92808283514574,258.250007745408,VER
14,293.375568504146,289.6422343757576,VER
15,306.06925600761906,299.82062496,VER
16,304.00189988193165,297.2168651174603,VER
17,266.44283758412695,260.84457464250164,VER
18,185.6520097078296,179.25059471238094,VER
19,185.50801284561447,189.9864413784979,RAI
20,185.7647197044733,185.30455970142899,VER
21,250.37579417859507,247.09666756266665,VER
22,126.69624430089479,128.59535573270475,RAI
23,197.31460459174602,206.2854079888788,RAI
24,279.0044360587454,279.3414923111111,RAI
