Minisector,VER,ALB,Fastest
0,293.1554306769748,297.02103546908785,ALB
1,300.2954629807407,304.40016664533334,ALB
2,217.80279537888197,216.55122476299016,VER
3,140.58670430603175,135.67645276140672,VER
4,214.8626287777778,214.5012530050598,VER
5,164.15609796195153,156.0118288607268,VER
6,168.50884807874704,168.2602162763756,VER
7,253.25606014075186,255.9642757445614,ALB
8,278.32180117542464,280.94302147633647,ALB
9,287.3996862005195,289.5515132294737,ALB
10,270.87328096,253.39641237897706,VER
11,251.7782818159615,236.11641852256156,VER
12,243.78164631111113,229.14013407505928,VER
13,218.3725450506718,202.867419262925,VER
14,134.54785913898638,126.30026794796908,VER
15,143.10414373919414,132.4431215540479,VER
16,176.03985003914275,186.44662652665116,ALB
17,244.86257587831153,259.5500036402116,ALB
18,246.41849301866668,227.89949600843443,VER
19,117.16545219578514,114.17721300059102,VER
20,190.73598459733333,203.53499923417033,ALB
21,200.36983638742018,194.85572113127398,VER
22,235.8077233062857,242.10273511869391,ALB
23,262.3475900757086,275.36361603809524,ALB
24,281.17166454290594,298.63735730926163,ALB
25,289.8,,VER
