Minisector,LEC,ALO,Fastest
0,309.7921296,308.0060185481482,LEC
1,233.2756047690807,228.38077235996096,LEC
2,130.9265816099562,130.66613037392537,LEC
3,216.81713777336805,212.47858216589262,LEC
4,264.98937551999995,258.7018711292517,LEC
5,297.3601814745833,286.94500876235054,LEC
6,318.31666800603796,302.8635267427346,LEC
7,287.6103052350877,276.1066654933333,LEC
8,177.94308008885727,170.91785912089355,LEC
9,237.80297233465993,237.45108271515153,LEC
10,275.57478107268173,271.19520837333334,LEC
11,271.8603058526316,258.23888569774,LEC
12,212.0238846028091,200.30560873846156,LEC
13,129.30451593390367,123.48501368444401,LEC
14,120.51482856380197,120.97807823539046,ALO
15,162.7920419041483,156.31973041568628,LEC
16,125.23962208130547,125.01391301515102,LEC
17,228.42157219635592,220.6361111111111,LEC
18,188.40014662857143,178.83586116888912,LEC
19,155.38543596635122,161.62511663474163,ALO
20,244.1481611705628,243.30871858058558,LEC
21,276.12926469529367,273.6379073764411,LEC
22,292.0995056811639,294.3521358072829,ALO
23,300.5759261037037,313.1357376912414,ALO
24,304.96729801591715,325.7740897254902,ALO
25,,330.0,ALO
