Minisector,BOT,PER,Fastest
0,258.6628349841239,257.607860972715,BOT
1,209.1437623693201,203.39409099066654,BOT
2,224.2703172068032,217.84086896457652,BOT
3,266.57360612400436,260.2921781719747,BOT
4,273.09466413744644,271.41911138475893,BOT
5,217.22456665503597,212.4578359191473,BOT
6,98.38561206148566,90.83909475388026,BOT
7,188.8903772243922,191.48417147020228,PER
8,273.42540548124634,282.3112782791717,PER
9,297.77691103906983,310.94451362154405,PER
10,304.4610901894737,323.11944224878016,PER
11,297.65161518730156,309.85379694837513,PER
12,113.07226781475809,102.88367735380065,BOT
13,216.9861917548275,218.74402318808305,PER
14,277.51787400075426,282.22774262129514,PER
15,292.4862857557217,302.8729676098316,PER
16,222.2237598726395,204.8722499898367,BOT
17,126.37654991609082,122.67536179392981,BOT
18,154.11792814062352,154.8645272832986,PER
19,256.3113366350419,261.163528964758,PER
20,157.22227806144446,147.85978132978858,BOT
21,130.28649084036184,125.97030543448373,BOT
22,208.18951081506617,208.04107774885364,BOT
23,202.95049222583194,193.09249282211093,BOT
24,166.2614396802663,162.89996614394374,BOT
25,229.9500032,,BOT
