Minisector,RUS,ALB,Fastest
0,283.81345132279574,280.0942705320415,RUS
1,300.19490638080475,289.1286409828571,RUS
2,231.23610829357906,234.25687113338216,ALB
3,114.69347532629058,110.68627648140898,RUS
4,136.6114889192728,137.707009032867,ALB
5,256.4078679749404,254.01079316772731,RUS
6,259.5676238095238,250.60880025565663,RUS
7,124.46863529788385,123.68280387208512,RUS
8,249.32808221223888,246.13765177583736,RUS
9,250.51387967717943,256.4540524899379,ALB
10,209.97873372447137,211.06407270697778,ALB
11,144.3816607106441,141.56193629568716,RUS
12,217.57018269333332,211.0364426499277,RUS
13,265.1042380496296,262.5879186090096,RUS
14,119.62035244760352,116.55763040498175,RUS
15,192.5890682416194,193.99197309083013,ALB
16,263.5430722074074,259.6410280643386,RUS
17,292.890684823716,291.76778479457136,RUS
18,306.99043859649123,304.6433082145363,RUS
19,312.58514829712084,311.8081894514286,RUS
20,316.35552631578946,314.2731481837037,RUS
21,181.17451804674425,153.6810374825732,RUS
22,146.82928231041845,151.8533334892996,ALB
23,212.19237151890812,197.55672511634157,RUS
24,239.45438442016507,242.3517424447205,ALB
25,272.2142857142857,,RUS
