Minisector,LEC,VER,Fastest
0,237.54768283061009,230.05844869760588,LEC
1,287.59235618622307,280.81433118730126,LEC
2,303.1949699899354,295.1485611257338,LEC
3,309.9636157013151,302.5526319855434,LEC
4,268.6471653681669,281.38461688669986,VER
5,171.31254093332274,172.46246511915942,VER
6,267.0585447383432,261.92634094401666,LEC
7,285.77874890927865,274.4966080299666,LEC
8,220.44815776688225,215.85746119688815,LEC
9,226.05128339924903,219.70097990056993,LEC
10,184.44266421203673,187.7125446831138,VER
11,227.36564670164577,225.894114059815,LEC
12,210.32387910747016,209.16660338325565,LEC
13,216.45474494754157,217.18476243164568,VER
14,227.37618839961502,224.96540392849735,LEC
15,184.81074349788852,180.28071553523174,LEC
16,252.7855169402003,245.3567018672027,LEC
17,292.13089893356874,281.92710734759936,LEC
18,305.89702389841267,295.56834142818167,LEC
19,301.6601901286389,287.1416760550432,LEC
20,133.94418149284485,132.97695907453055,LEC
21,165.7557472485355,158.92962743717038,LEC
22,149.2613210154159,158.3299233605099,VER
23,208.71683581282332,199.24903521580595,LEC
24,149.61363455311027,150.55438932194366,VER
25,191.31799690229371,,LEC
