Minisector,VET,PER,Fastest
0,265.98218536769076,260.94605365567963,VET
1,135.91671917497592,133.31294380422386,VET
2,264.66343350217363,267.4036656370755,PER
3,305.1273004746085,307.81217756825396,PER
4,303.70749994666664,306.4050000213333,PER
5,309.7817708,312.4574398218106,PER
6,313.84751158306875,315.2741044623616,PER
7,315.03478265507243,310.8972912708788,VET
8,213.4068847814672,193.74382846728045,VET
9,201.9285391814672,203.66056359489647,PER
10,190.3242525262014,174.237394942871,VET
11,164.51781062788112,167.5699127016167,PER
12,253.94535719619046,257.5763811334288,PER
13,280.07109350174346,282.34842382112254,PER
14,283.9392857494505,279.3499860956939,VET
15,282.494443784127,267.1158053319218,VET
16,187.79441368273712,183.51260899471228,VET
17,197.30267045559845,190.96719028917335,VET
18,244.65635755548746,246.58736557419354,PER
19,291.1169287619048,292.2500035293268,PER
20,309.82458573760186,312.50070230913144,PER
21,316.17088000764335,319.55446674222554,PER
22,316.3083580888889,318.5975447111111,PER
23,271.65444486097437,238.295720557169,VET
24,117.86588611666667,117.98623860664225,PER
25,230.93333333333334,,VET
