Minisector,PER,VET,Fastest
0,243.83464134133908,242.55471255281518,PER
1,276.35126775652174,268.36733333333336,PER
2,189.4589672008931,184.1382699685731,PER
3,151.50888887071469,156.5035725460033,VET
4,257.77344579009815,258.0570512820513,VET
5,269.099613030607,258.50422842469135,PER
6,219.26463602868176,205.70252525252525,PER
7,201.5784393745228,198.97080953904762,PER
8,152.0204885087156,147.91102988054902,PER
9,209.48796927591908,209.3421875,PER
10,271.96857080076194,265.10160258461536,PER
11,126.45091483397044,127.59507205364712,VET
12,205.36472166273754,208.3653298761101,VET
13,267.79499942399997,265.55685837705465,PER
14,287.13066720309075,286.5966666666667,PER
15,293.59257252173916,290.722463768116,PER
16,251.3811384346522,234.1249730247786,PER
17,135.53919050893813,135.33706662001524,PER
18,130.0415860948986,130.19425032863143,VET
19,121.42160081090567,119.12119859157559,PER
20,221.4109693136225,218.85967741935482,PER
21,250.92746850088184,250.84225486549084,PER
22,238.49406152366893,234.1132183908046,PER
23,217.89231816666666,216.9650119606811,PER
24,140.10113623538652,138.6282865936508,PER
25,214.0,,PER
