Minisector,NOR,OCO,Fastest
0,281.98204544000004,289.8965990109091,OCO
1,210.52967445681404,205.315474623136,NOR
2,223.03976253226665,224.99739770487616,OCO
3,270.00107173206345,273.09093196841127,OCO
4,243.95247936147564,236.2282626145055,NOR
5,128.7339831925923,129.55879703993668,OCO
6,210.1553301486123,214.65561722823196,OCO
7,254.6878913770545,253.9607842094437,NOR
8,240.34540399175407,234.263066624903,NOR
9,228.06668668041516,230.18731086950208,OCO
10,270.6326280688133,273.36521138594964,OCO
11,288.85749712610846,293.067344152,OCO
12,298.72587740016706,302.20169550358315,OCO
13,303.30371437104765,307.0737745568627,OCO
14,296.1655012939327,306.5710797791784,OCO
15,248.34279875746032,254.608838951342,OCO
16,240.0147320214355,235.299486363982,NOR
17,276.1940243051429,275.9308968853333,NOR
18,282.41862463318034,288.60729423665896,OCO
19,157.0640542845113,152.37193451466712,NOR
20,212.2952113774587,206.84994368113342,NOR
21,187.442709627013,184.16915536679235,NOR
22,140.56756674775855,138.72991595210192,NOR
23,234.53378034140934,234.24084932210687,NOR
24,276.05976429298704,276.91678119757574,OCO
25,285.57857188571427,,NOR
