Minisector,GAS,HAM,Fastest
0,308.70208531319724,312.3575115940741,HAM
1,196.72762314760732,192.2253825635222,GAS
2,111.70978030310928,107.9201540839137,GAS
3,193.6485560942153,194.53653941404838,HAM
4,253.4878915194846,255.87076424078103,HAM
5,285.1696088099567,285.8567132847619,HAM
6,302.0901442841527,302.1670404001114,HAM
7,227.90017392909576,227.20204582605678,GAS
8,146.7072305659492,141.1612757906105,GAS
9,229.1146030374603,225.53589249026146,GAS
10,270.79424169385624,270.4089209559808,GAS
11,224.77108490473165,237.2670012157899,HAM
12,170.09171138667867,174.69442824136752,HAM
13,109.17280162746401,101.8061137596665,GAS
14,105.28027690338972,105.54654837457635,HAM
15,136.12449812843693,135.31458084447934,GAS
16,114.59964573980129,114.51206149494101,GAS
17,203.26495455753727,203.9671549419719,HAM
18,157.30525030532309,139.83186401735352,GAS
19,152.31821862042952,155.42618991711774,HAM
20,241.76257158929397,244.07046115593906,HAM
21,271.40628227555555,276.43272258083533,HAM
22,290.85629353238596,298.23969651666664,HAM
23,302.45868035555554,309.91623846531496,HAM
24,307.84615384615387,315.38660259282057,HAM
25,308.0,,GAS
