Minisector,NOR,ALB,Fastest
0,270.80493656071303,273.12537095939217,ALB
1,295.8164692803688,299.3912779448889,ALB
2,310.4914238935488,311.7335523646825,ALB
3,318.82404178133334,319.3948426505322,ALB
4,322.8419876051582,324.664907935488,ALB
5,325.184642976508,327.92074074074077,ALB
6,205.75034960985934,204.847274939327,NOR
7,103.86405470228036,104.10533804168459,ALB
8,179.75438916,176.12776806458683,NOR
9,260.0641256063492,257.0051498459474,NOR
10,288.3200179244818,288.5423775735653,ALB
11,155.94703063411308,160.95994043649168,ALB
12,96.1451939809378,94.96696896984824,NOR
13,107.72808943046327,107.40836120714363,NOR
14,218.8451571186147,212.32847215323213,NOR
15,190.54147362349764,178.47661049615968,NOR
16,217.8593150566234,218.9561362825974,ALB
17,173.89284731904968,165.5514941477971,NOR
18,232.3523331641103,237.24016837647684,ALB
19,274.96966772335117,275.0431739202552,ALB
20,261.6815187599552,263.4787150456209,ALB
21,143.37515696717088,148.21150813266107,ALB
22,94.21804047663257,92.1697315273786,NOR
23,122.81949968086488,119.47028838478529,NOR
24,224.06037061750908,212.0819194434018,NOR
25,252.85999872000002,251.8416672,NOR
