Minisector,RUS,LAW,Fastest
0,317.4884799340606,317.16313094276336,RUS
1,323.44306045238096,314.05549152969695,RUS
2,164.02609091444225,170.97077715600102,LAW
3,151.7037485180952,159.1767163019174,LAW
4,200.87781706759057,199.46487791218303,RUS
5,150.76395642971428,149.00780044258826,RUS
6,201.11267230911568,200.99334337413865,RUS
7,272.5120345537255,271.62480112818946,RUS
8,291.76935216592597,292.41948953641736,LAW
9,280.29668304190477,286.0664060286731,LAW
10,229.5178835817143,235.7208032036281,LAW
11,232.46079496821082,240.07637108627725,LAW
12,216.11213653024154,214.6930665378361,RUS
13,177.12009993900836,181.04118423917083,LAW
14,133.37929741629628,137.07419674078292,LAW
15,132.74198361374636,131.7844608165071,RUS
16,192.92023347889307,201.6836868366206,LAW
17,268.15089172952383,267.291248913157,RUS
18,191.98201449426128,201.11430306850488,LAW
19,112.20025302432676,112.05447647770293,RUS
20,202.71545651864733,204.5747044176207,LAW
21,186.66914149436624,182.16305151156175,RUS
22,245.19914958909808,251.81062805033187,LAW
23,275.4261378677618,277.21429495297497,LAW
24,303.37015721333336,302.4639395073016,RUS
25,313.51428571428573,314.1055561244445,LAW
