Minisector,RUS,LIN,Fastest
0,313.9240280739506,320.5355003984282,LIN
1,325.9187804037645,346.64175545655104,LIN
2,330.65611373871786,351.8343809097143,LIN
3,301.13892989358146,325.11290267363836,LIN
4,152.489175670293,147.1872765909461,RUS
5,196.73241383805765,178.45041142866685,RUS
6,218.1480124375483,207.81177351779735,RUS
7,258.7933838994997,256.6792736458432,RUS
8,231.07344083846837,245.47961335749932,LIN
9,156.3210654785933,144.2500985179663,RUS
10,208.84819285490815,205.4096808308463,RUS
11,121.6882714425364,122.25686649521307,LIN
12,228.550893227447,228.39883223664344,RUS
13,163.14714734312878,164.14497496356145,LIN
14,207.17803951738463,202.19866248383252,RUS
15,219.77815718974924,211.84613126231645,RUS
16,264.36019931061577,255.3883285786203,RUS
17,304.5161369479086,290.0549504446961,RUS
18,142.55998770418336,138.6061786015207,RUS
19,157.13669879872515,149.40637477255876,RUS
20,132.268195768097,126.9351385122026,RUS
21,222.66669628635492,215.91764193223742,RUS
22,246.7271615504531,250.1011092770585,LIN
23,229.43737049483997,225.69780292521617,RUS
24,281.35448776632813,279.47541783411253,RUS
