Minisector,LEC,RUS,Fastest
0,317.65320198545453,315.7332797733489,LEC
1,323.98892956362437,324.57822929246794,RUS
2,319.8468597095065,318.4045915488926,LEC
3,189.27131140063491,185.03576741793665,LEC
4,128.74994520335719,124.36463378472499,LEC
5,261.2384083774359,259.80381901553943,LEC
6,297.3724850638095,297.44294589941524,RUS
7,307.3798958114286,309.7681663260681,RUS
8,266.54012935454807,272.6630947202309,RUS
9,145.80096762214654,146.45782196465814,RUS
10,212.8479357258835,210.0493469393438,LEC
11,219.08106207726206,211.19724262464223,LEC
12,193.1081411582404,189.94725944831174,LEC
13,264.6811850727562,263.5150765430791,LEC
14,300.54194674873855,299.30319643806484,LEC
15,312.4268181006699,309.7292527260119,LEC
16,252.07633061189162,261.1201066301587,RUS
17,207.2245198222054,210.20365043962454,RUS
18,271.77651009015875,271.837722015873,RUS
19,304.11475231117794,302.5760385298415,LEC
20,312.83246692250464,315.0144444109668,RUS
21,294.03145371428576,297.90243133968255,RUS
22,207.99302058653265,203.24389291450737,LEC
23,263.08706487265306,262.578411054966,LEC
24,301.2408698224738,297.21256164177777,LEC
25,,308.9999998222222,RUS
