Minisector,GAS,HAM,Fastest
0,308.6804200599066,300.08032960525435,GAS
1,210.6108808121212,228.93905938285712,HAM
2,132.80813128259499,130.15851961184296,GAS
3,215.19792787990932,219.78104625632653,HAM
4,261.3411242659132,261.8639719230139,HAM
5,290.23647920522876,284.22307650038493,GAS
6,304.44149682176874,295.7461344578151,GAS
7,266.7944306973734,267.98731875780874,HAM
8,165.87384037988735,171.60188140644732,HAM
9,235.34725232479963,237.26270465105756,HAM
10,271.1268572657321,271.76680144179204,HAM
11,254.95943232120302,235.07232077945164,GAS
12,197.14605923357593,197.322830703809,HAM
13,120.16090902993895,119.48363672126983,GAS
14,119.27150477440077,124.55561317304546,HAM
15,164.58057549318735,152.29990351286665,GAS
16,124.94559721695586,129.29814745895305,HAM
17,222.79994196970685,227.58903208403808,HAM
18,166.98981447941034,170.44588735430497,HAM
19,154.08141143386038,157.6761918946573,HAM
20,245.9043749751684,247.48522444652235,HAM
21,279.94230796867726,271.88135151470317,GAS
22,301.75929550526985,287.1085622247619,GAS
23,315.09489244090906,295.49337195851854,GAS
24,320.70192838745254,298.86024306666667,GAS
25,323.79499904,,GAS
