Minisector,ANT,SAI,Fastest
0,270.30142777563475,274.4631002892379,SAI
1,255.01788283614619,248.13347011844155,ANT
2,126.59753954424242,119.4471935371956,ANT
3,166.788855968354,174.3447470919882,SAI
4,203.29896261946448,188.72051911193034,ANT
5,192.93954636478097,204.858393997676,SAI
6,262.65699150169274,266.9286110577778,SAI
7,286.708947671579,288.3250676941302,SAI
8,249.76739973904762,231.51100242705314,ANT
9,150.53654248485176,144.29842125341395,ANT
10,122.26515036249172,124.37454692073987,SAI
11,161.23026454089236,164.4328316402837,SAI
12,238.4475506955665,249.82677826714843,SAI
13,165.93822763754824,157.0064580017778,ANT
14,147.3262667733432,148.79035433025345,SAI
15,109.94062069907454,106.64672872891153,ANT
16,210.72630565939886,224.17552028024843,SAI
17,240.85709409158005,236.26386538302276,ANT
18,118.99511566788358,129.04805614214527,SAI
19,237.41812022194617,244.08599801131814,SAI
20,271.89768392689774,275.6433640701387,SAI
21,218.00365973278912,194.75723934331066,ANT
22,140.62462150763432,170.22310836248027,SAI
23,215.22518882763922,221.87868057489177,SAI
24,229.8802269372544,235.27489903666876,SAI
25,256.7666645333333,,ANT
