Minisector,KVY,HUL,Fastest
0,275.989275228713,277.2879976612199,HUL
1,292.6661137360316,295.79495222383616,HUL
2,285.1206945880693,287.46277803495536,HUL
3,176.01427242421383,173.58018159245685,KVY
4,132.22942446231613,132.22859807612173,KVY
5,248.03477022947143,246.74445332076976,KVY
6,295.25713708700755,292.15694028013513,KVY
7,302.0997227204543,292.0070358683039,KVY
8,165.93384059815162,168.5032549971629,HUL
9,149.2948879748338,145.69684284524286,KVY
10,256.56634014427885,255.7642619986543,KVY
11,288.78270325047106,289.3744029592057,HUL
12,297.7324633618057,293.1230256313449,KVY
13,283.2642540766532,278.98695231570167,KVY
14,300.33876928246144,301.4414625995043,HUL
15,302.18461622898764,299.10252516576577,KVY
16,247.24007159358408,237.65085059676235,KVY
17,223.27762268511867,217.8336699920199,KVY
18,287.5887802655546,287.85585990070206,HUL
19,317.9880943390989,320.9951772874294,HUL
20,317.7468323723468,328.0528695315483,HUL
21,208.25278964391256,223.5250885341464,HUL
22,251.27763703676555,251.5638833270418,HUL
23,135.38927730150382,140.59938562611984,HUL
24,227.4232836218008,216.89625286161336,KVY
25,,258.27893918084936,HUL
