Minisector,VER,ANT,Fastest
0,298.6698245392761,303.40013156432144,ANT
1,196.18652925802084,200.73280605710588,ANT
2,224.5127634569121,211.9803595813691,VER
3,273.8745637001698,273.096460434504,VER
4,247.6850655730032,254.0118561056137,ANT
5,127.49866052326523,124.59339753188051,VER
6,206.5330985210628,196.41641624872247,VER
7,249.9807471236175,231.9612955716336,VER
8,231.01889898923767,219.3368383123665,VER
9,225.02026225574969,215.2607391479354,VER
10,273.30414043484734,269.08706007109106,VER
11,290.03887109360693,290.090527697984,ANT
12,298.6496419390391,304.59485119047616,ANT
13,300.33111669043205,320.53189216771307,ANT
14,302.06294896036724,327.9654714290645,ANT
15,234.49015967189877,229.48773322645908,VER
16,228.94513377390032,224.39860836772328,VER
17,273.79664137677906,276.65901999903747,ANT
18,289.93467337038976,305.4847406546492,ANT
19,144.59583781642175,147.1481680352936,ANT
20,210.77976598785898,188.2728620806945,VER
21,173.3356025987018,203.70710988361733,ANT
22,146.84242886207275,126.07843943298705,VER
23,242.1764317543425,221.52221676738745,VER
24,284.56654563754523,289.59191992994425,ANT
25,,309.7906196706816,ANT
