Minisector,SAI,PER,Fastest
0,288.5996404727098,287.6875344545302,SAI
1,305.20875013333335,306.3845240888889,PER
2,299.980978944962,303.15765254240364,PER
3,183.3857824078873,186.78506532350232,PER
4,226.77495213245066,224.50185283890042,SAI
5,210.06556483006062,216.67241375632184,PER
6,193.20883940547364,197.98150413929085,PER
7,218.4147782338178,217.5913696,SAI
8,259.45843297777776,257.6217594074074,SAI
9,264.69746379130436,264.5849634252588,SAI
10,177.51496653832,182.72907132869503,PER
11,241.03741932327927,243.30888148114286,PER
12,115.92117821727548,121.41868122532244,PER
13,228.6149705876543,227.44212577289377,SAI
14,274.2880373994805,273.1600368357512,SAI
15,280.08509294244305,285.979996111896,PER
16,208.61030503327504,212.97493445358734,PER
17,186.90465720784314,185.97135062732534,SAI
18,271.1016236233654,268.2484297429952,SAI
19,294.7832073050505,294.7160624574532,SAI
20,305.59208341333334,307.5332671830688,PER
21,305.5416666209524,309.1502380952381,PER
22,259.9255337539047,275.69843802697545,PER
23,117.53287611898965,119.77396354437263,PER
24,246.242812981685,243.32916689066667,SAI
25,,274.1958336,PER
