Minisector,RAI,LEC,Fastest
0,296.0720760981288,291.9543391955506,RAI
1,306.94611107555556,300.94088373333335,RAI
2,170.01679199616174,159.22985888,RAI
3,230.35118958730158,224.30776789730464,RAI
4,284.79236990156073,274.8195322,RAI
5,303.23422605714285,295.3427088,RAI
6,309.890625,304.5303637405501,RAI
7,177.31704328894307,168.66838524006567,RAI
8,132.714963412128,130.65381196690836,RAI
9,256.002394369884,249.82023968721805,RAI
10,287.4477178565079,284.68307346666666,RAI
11,299.2546568853312,299.02138830222225,RAI
12,153.77609770733042,145.9409286140056,RAI
13,193.70889493959683,195.43750266666666,LEC
14,264.7362455483512,261.18819537777773,RAI
15,208.61179835151515,185.7186793532658,RAI
16,224.0427852184333,221.75961507809524,RAI
17,218.10227345454544,207.75939973095393,RAI
18,246.61907811929822,242.90104298666665,RAI
19,280.0714700423529,276.13345632941173,RAI
20,297.3296872,293.8987711513139,RAI
21,266.82526213333335,248.49235863703703,RAI
22,231.51901625955577,217.35051816499006,RAI
23,211.59239058550725,205.75199457391307,RAI
24,270.07972242067194,267.83875574594794,RAI
25,286.5249984,,RAI
