Minisector,SAI,MAG,Fastest
0,255.4722861904664,256.0406686857982,MAG
1,205.34700721881077,204.56508859408302,SAI
2,222.56362795560202,225.00026941823677,MAG
3,259.7814523395795,261.5913223602083,MAG
4,268.50730178136905,272.077852212801,MAG
5,214.40233213941417,216.32306079429674,MAG
6,96.83546126358883,94.841200018062,SAI
7,193.02665238354678,191.79776517089564,SAI
8,275.4316144341667,277.5626802283616,MAG
9,299.56107898303003,306.98997217169364,MAG
10,310.5108644896948,319.764203077904,MAG
11,304.7515991219029,315.46749709569985,MAG
12,109.38491154809535,104.9528044639237,SAI
13,215.88253492291423,211.57049800845613,SAI
14,277.4119432847061,277.21446229155544,SAI
15,294.82455785060904,297.1773652310497,MAG
16,217.79317730160992,201.69943780313616,SAI
17,126.84396422110584,122.5017411575505,SAI
18,155.33758479776913,153.62493303836416,SAI
19,255.49101802114103,257.1789185549862,MAG
20,153.26144202374795,149.37024880511615,SAI
21,131.22947949314513,126.68899283199042,SAI
22,210.14879322017046,202.1005394246011,SAI
23,198.9797745736135,199.4434143363651,MAG
24,172.12073442019505,163.24372002944608,SAI
25,233.7250048,,SAI
