Minisector,SAI,KVY,Fastest
0,321.6554026816506,328.3282150059422,KVY
1,328.53409090909093,344.2277775746032,KVY
2,324.5268542251026,344.8061508571428,KVY
3,204.85844379099098,192.92089659759768,SAI
4,120.46691197978983,120.51306036300267,KVY
5,264.8270592490508,265.39478577995357,KVY
6,301.37226586190474,300.8125734121306,SAI
7,309.6542184679089,308.2894096888889,SAI
8,274.68146246424556,262.2326564734694,SAI
9,146.87947643128842,145.44515542476944,SAI
10,222.03742764329004,216.43321160784313,SAI
11,219.15460191869633,214.83176170749365,SAI
12,202.58749884444444,200.02139678558558,SAI
13,270.43778783369333,270.80049627606866,KVY
14,304.9479972167328,304.0041228777778,SAI
15,313.2031197537958,311.5657071708372,SAI
16,262.0933020952381,256.53222014285717,SAI
17,210.52363105025137,203.91763046603384,SAI
18,274.3164289584762,272.9216337289377,SAI
19,306.36436958023387,306.92854123555554,KVY
20,315.33020189151136,317.03787878787875,KVY
21,300.9460167616841,290.0505614262132,SAI
22,213.18112038592065,207.12576994061624,SAI
23,266.5996701232358,267.2240046539342,KVY
24,303.819125344,302.9374498031746,SAI
