Minisector,VET,LEC,Fastest
0,281.1301180717354,282.89616201145134,LEC
1,219.3243685302471,225.0196896121905,LEC
2,113.96207422974771,112.96005787010789,VET
3,202.1458932760172,203.4426747604396,LEC
4,175.70228161681413,175.25726445270521,VET
5,225.21148193179772,228.96659130181817,LEC
6,278.3191820399568,281.34461247205604,LEC
7,295.04495607017543,296.7716738061624,LEC
8,175.75757292429935,169.42459690896058,VET
9,126.83370734119481,123.8180337198597,VET
10,137.05130322517732,136.81687648236434,VET
11,199.25806610415165,200.21695459273485,LEC
12,212.37596344615383,210.17273405192375,VET
13,131.8857957733333,130.53198973032744,VET
14,147.38985220586844,142.0986182143262,VET
15,128.80701794160026,135.04106709429956,LEC
16,258.01145141399934,258.37859352,LEC
17,138.51295468279162,140.03019839219704,LEC
18,206.99049785904762,212.79719047314288,LEC
19,137.2506381641237,133.87238571154634,VET
20,145.01581319607135,148.87303717065637,LEC
21,128.22341203004257,126.75294579820229,VET
22,151.0146057211519,155.90821524424783,LEC
23,220.2628411270073,224.7355825756347,LEC
24,238.18042514608197,243.5331439030303,LEC
25,267.27499946666666,,VET
