Minisector,VER,ANT,Fastest
0,284.2310759225617,283.65345758277437,VER
1,300.2619704861111,302.5463352163265,ANT
2,244.60059307840604,239.97642688321832,VER
3,117.82888753982279,118.30602383264821,ANT
4,142.85726868971608,130.84615180496593,VER
5,251.43303780855618,251.23231553502416,VER
6,260.3512358675355,265.8642186539166,ANT
7,126.54502758647736,126.20129009636386,VER
8,246.97560665504693,244.04834028338982,VER
9,265.3576136862338,253.37417571604394,VER
10,212.2091563306066,207.92188336423513,VER
11,143.07303187339778,138.97150247605867,VER
12,209.6993830214274,206.71792608608783,VER
13,263.5522193820106,264.1575005838569,ANT
14,117.2198056955963,118.24525604993624,ANT
15,195.70000045052174,199.77666735294753,ANT
16,265.7415200074225,264.21580014509317,VER
17,291.63822285033444,292.6983026243912,ANT
18,304.8374242754543,306.8470522935147,ANT
19,311.77823137959183,312.74854095283774,ANT
20,312.98130102728675,315.7469846736842,ANT
21,176.91285903834074,144.94089317556427,VER
22,148.2173184133001,159.9875977570165,ANT
23,206.41903354326612,204.189348288,VER
24,240.28468650487108,246.44676103226723,ANT
