Minisector,HUL,LIN,Fastest
0,137.25733288250711,158.17968792,LIN
1,184.87392933079363,128.77022154459834,HUL
2,235.35224958484847,163.51797431920485,HUL
3,269.94750048000003,208.06285677714285,HUL
4,289.71228085146197,212.72787228002997,HUL
5,306.44923116307694,122.29280487775542,HUL
6,313.98532612173915,123.93984612444446,HUL
7,324.86781272,168.96216557380953,HUL
8,328.79807712820514,148.8778572371686,HUL
9,319.82791344,146.72214456470587,HUL
10,199.5342143755102,136.820667652987,HUL
11,101.03174264516868,170.04735149985183,LIN
12,121.53413511643139,209.90931680993788,LIN
13,202.56908788923076,244.04593408178295,LIN
14,250.20936175930737,240.41255685251414,HUL
15,263.2692856032653,188.50629613037037,HUL
16,204.18397296410257,213.92398393498414,LIN
17,128.09050799589744,241.2840579710145,LIN
18,128.60326640822362,266.69925888,LIN
19,177.2373993665306,239.81933963809524,LIN
20,228.6040389169231,158.15032258064517,HUL
21,259.42668036712524,120.93666816,HUL
22,281.1,,HUL
23,295.40055616,,HUL
24,303.86435188148147,,HUL
25,265.9444266666667,,HUL
