Minisector,RUS,VET,Fastest
0,245.93359699453092,248.110305069899,VET
1,118.18871239948567,119.78940311452826,VET
2,192.99530775862482,201.9079199703704,VET
3,241.93690309198877,247.76632205071414,VET
4,250.9053277862789,248.00692417641025,RUS
5,172.18044330763416,166.3582233153016,RUS
6,144.2674745498961,133.04714935124227,RUS
7,190.30769117994987,175.84100090133333,RUS
8,104.71453373704391,98.25372272874233,RUS
9,72.61809732914325,70.74456481331248,RUS
10,93.97841539954301,99.52541797748567,VET
11,184.09354438655672,195.11421318698243,VET
12,242.64314480527474,248.49275156994707,VET
13,265.58525708698414,271.24230147468313,VET
14,270.66425428280274,262.75618362319875,RUS
15,111.08217096303567,106.36111823432093,RUS
16,153.8758686738772,162.0359192745393,VET
17,178.26917611388475,173.807448757191,RUS
18,200.78267292683472,194.41388870334083,RUS
19,197.41749493243697,194.54781271703703,RUS
20,128.6337792416117,128.2246458466847,RUS
21,108.70547960126984,100.90266999037071,RUS
22,96.7428147976734,101.70907575007217,VET
23,199.81420283284822,208.8034157165083,VET
24,249.05273709714285,257.26620540579154,VET
25,263.38780957567815,,RUS
