Minisector,BOT,HAM,Fastest
0,265.64967938461535,265.17846689163656,BOT
1,252.6031937241925,256.71790133909343,HAM
2,173.24304245283557,169.76030167102442,BOT
3,250.6378558018405,250.02914316190478,BOT
4,276.6744790920635,271.6923762759141,BOT
5,193.44096944021908,195.33444726163884,HAM
6,127.19294244277317,124.3360660908114,BOT
7,165.55943307515858,164.78557714801516,BOT
8,262.6650395704632,259.40149952,BOT
9,183.6830368,182.55412652365027,BOT
10,189.6496733742095,187.4468327457106,BOT
11,260.6853807725714,258.69656895853626,BOT
12,242.3147903916975,246.32506621516754,HAM
13,263.31480924038095,260.38821018147837,BOT
14,288.1408014041805,284.9899301333333,BOT
15,287.03083997083354,280.81305348458994,BOT
16,156.31470287539085,145.5178411632842,BOT
17,245.66040489876542,237.79196507737342,BOT
18,288.29249054545903,286.92039280496897,BOT
19,300.2033530801674,303.04186493968257,HAM
20,305.00795447272725,309.46146467908903,HAM
21,308.75122751304775,315.19007933968254,HAM
22,152.40457895196297,128.03967979777573,BOT
23,98.35445079555426,88.04922890295963,BOT
24,184.89509012683752,187.1049320647495,HAM
25,246.16418138561,,BOT
