Minisector,STR,NOR,Fastest
0,307.3824065777778,291.83077241021596,STR
1,325.176077934156,303.08261266766914,STR
2,336.87303915742297,309.3583958536341,STR
3,315.4351880888889,300.1413963015139,STR
4,165.04364309634755,165.48738456296297,NOR
5,204.0990950659612,210.85850204507412,NOR
6,234.46754834307066,233.9828117333333,STR
7,266.4909085090909,265.9355263450741,STR
8,251.97490318975804,245.63869138015357,STR
9,162.0084658381101,163.06869183059416,NOR
10,228.34489598536325,232.99139496507937,NOR
11,130.0533715384988,133.97869169107707,NOR
12,225.56970339268483,224.59498836190474,STR
13,187.15309250752688,186.15408158853026,STR
14,221.10234306174073,216.07793066666667,STR
15,243.09937933913042,245.87305377383856,NOR
16,257.3794845846606,263.77613585454543,NOR
17,283.974352576975,288.66525993333335,NOR
18,122.53481333263494,126.70027530026664,NOR
19,159.83683454074074,161.01899777284984,NOR
20,144.77661310935628,145.0615835936508,NOR
21,159.02479261120294,157.35231585844613,STR
22,117.10385030592808,112.44378407268572,STR
23,227.07273252693332,226.89246672527472,STR
24,270.08890631341995,276.8338144029416,NOR
25,283.3374976,295.3249984,NOR
