Minisector,HAM,ALB,Fastest
0,274.5333773209529,273.95173923942593,HAM
1,299.57956079999997,300.2049406552381,ALB
2,312.267768167619,311.7335523646825,HAM
3,318.4057417804422,319.3948426505322,ALB
4,321.0956737429302,324.8205807397888,ALB
5,322.6861111365079,327.98650793650796,ALB
6,199.05725918837027,204.847274939327,ALB
7,107.0364613600938,104.38854427878735,HAM
8,189.7773940694171,182.57558587180398,HAM
9,262.5665657050505,262.1291082459474,HAM
10,290.62218547092436,290.3679394899911,HAM
11,158.10195080360845,148.43454405618488,HAM
12,96.5904776026822,96.01940575672006,HAM
13,112.87925760912913,110.05452225179818,HAM
14,224.68295797493732,209.28815179642666,HAM
15,184.67838749634086,181.93137245366884,HAM
16,226.8809652603509,216.398560088658,HAM
17,178.6336200902052,165.24755429770894,HAM
18,234.50101128698412,243.37087077244277,ALB
19,278.2644261928572,277.37501680915824,HAM
20,228.51865490777033,243.05607450877773,ALB
21,142.89965716563236,142.66146020575388,HAM
22,95.4100068283111,92.76623341373376,HAM
23,122.12741599450202,122.9540149087619,ALB
24,226.4950705347973,224.4644781211322,HAM
25,257.30192196923076,,HAM
