Minisector,HAM,TSU,Fastest
0,270.8182254730159,266.9601931368936,HAM
1,292.7723584059321,286.0289472,HAM
2,301.8255024453637,286.95005274028955,HAM
3,134.6069783126121,122.15046369185185,HAM
4,197.41291843280325,193.51610300418938,HAM
5,255.58313508571428,247.32956416145126,HAM
6,148.48861282529282,138.93307879036414,HAM
7,210.33792775923808,200.34389706666667,HAM
8,260.36854956658766,256.6298087155821,HAM
9,279.21204590018556,276.5589601122807,HAM
10,239.50102949869074,220.5653196763199,HAM
11,191.4472761391232,171.7930669659517,HAM
12,190.02778433265973,191.529052198236,TSU
13,152.17819967219327,141.01239114185464,HAM
14,183.88207820125902,174.16905833290323,HAM
15,169.20914475924343,159.6237393165266,HAM
16,217.91182566893292,218.37797971017142,TSU
17,236.1103123382246,223.50950058666666,HAM
18,240.14561855303782,234.9467605419984,HAM
19,252.3624993015873,227.42048706666665,HAM
20,147.79175449851698,141.57621561493357,HAM
21,141.41706228268018,133.5373021569161,HAM
22,172.88393441254547,170.49878977296308,HAM
23,157.4768307434736,148.54838072724306,HAM
24,230.0600529183158,226.32326351111112,HAM
