Minisector,PER,LEC,Fastest
0,272.16577379047624,273.7352496604444,LEC
1,249.0766076815423,237.9426875724098,PER
2,114.55284815773211,114.31434670915911,PER
3,170.83115102862365,167.5082780918207,PER
4,183.0159123061074,188.41593131246825,LEC
5,212.97462854461529,207.96660708390962,PER
6,269.2895010552281,266.3348992706493,PER
7,286.5388095238095,287.18738340643705,LEC
8,202.03090955199283,216.01743446864626,LEC
9,131.78019449103044,149.47612590582386,LEC
10,126.83557233671195,123.24677497206376,PER
11,178.96912227509378,163.77406552528873,PER
12,230.39400851339332,246.85229199999998,LEC
13,130.2940756926425,147.75320493327754,LEC
14,152.60829391765083,149.11319441348056,PER
15,114.03084531437449,111.16323602681183,PER
16,242.00183151799783,227.3855874469577,PER
17,150.29706780241045,228.23791060814355,LEC
18,188.63354438117446,134.57038193015873,PER
19,126.5587344481744,163.82651669329266,LEC
20,119.70918160819639,129.36104264880458,LEC
21,120.16203431658876,113.26677308098151,PER
22,135.7171240664836,129.80257865609175,PER
23,217.33048562398875,186.59545395510332,PER
24,234.25151454528444,216.33758152984007,PER
25,,249.77084205950328,LEC
