Minisector,BOT,RIC,Fastest
0,290.27222186666665,288.75338387473295,BOT
1,296.63405801739134,295.72028985507245,BOT
2,292.334680089441,284.6319938285714,BOT
3,122.30403811310345,113.23746035011776,BOT
4,225.22978590081556,221.3051087462287,BOT
5,276.26557461587305,275.35437829828294,BOT
6,223.35338606714765,220.51639624946236,BOT
7,166.89682412307693,157.17986583092755,BOT
8,220.6722907997671,209.25493087045228,BOT
9,232.72044388045978,215.33669388387096,BOT
10,123.84969755904483,118.79903011851117,BOT
11,232.5036560741451,230.16240769556103,BOT
12,127.51103786991582,125.69208814286976,BOT
13,230.71962073957306,226.268535245977,BOT
14,280.2339224990637,279.4918733463548,BOT
15,228.0817233204301,221.04765596313362,BOT
16,199.43344037183795,190.9823179811278,BOT
17,258.03205078974355,246.95401220740743,BOT
18,220.73861153447794,203.49486666982008,BOT
19,180.97837676396398,177.74279334054054,BOT
20,264.1849981642144,262.9164670748079,BOT
21,284.9381944,285.18985497971016,RIC
22,183.12157793198136,175.1856036956403,BOT
23,218.974729427957,216.65117566369764,BOT
24,270.79410258319297,271.729483740136,RIC
