Minisector,BOT,KVY,Fastest
0,272.47113383628346,275.86728559483686,KVY
1,289.5086025572501,294.2444477127281,KVY
2,286.65780673867295,289.70301994624845,KVY
3,188.00004671726384,179.35244975990733,BOT
4,126.31801453503714,128.00854487601248,KVY
5,235.3353871788274,239.43858554718946,KVY
6,281.0929320378974,280.9157941181609,BOT
7,293.8378767573548,284.96968864468863,BOT
8,178.26941869057117,171.87567435556988,BOT
9,142.13485302202145,140.87353775278453,BOT
10,249.1919993826871,249.7492247284821,KVY
11,284.7500638192727,284.0223210107161,BOT
12,294.27599991466667,294.859333248,KVY
13,279.916849810989,281.5874540893773,KVY
14,295.0950561708967,297.6363997866667,KVY
15,298.97079228603235,301.7670311001826,KVY
16,263.2305111115721,252.0711452437474,BOT
17,226.16044886045074,221.71581469445997,BOT
18,279.7287470181764,279.3710658324216,BOT
19,301.38142373333335,301.78685199812793,KVY
20,307.24019585020216,308.0878887089027,KVY
21,239.40138801777778,223.6514309928966,BOT
22,260.06143120084374,254.25172340229886,BOT
23,136.29288449931354,141.13231816752136,KVY
24,216.11252571937302,208.0545055598945,BOT
25,,255.76150285884444,KVY
