Minisector,PIA,ALB,Fastest
0,321.8654399085235,324.7023598998467,ALB
1,329.4979024521212,332.81511911788357,ALB
2,331.3304107579221,337.0171905391746,ALB
3,197.12763619804696,206.76002079932772,ALB
4,136.5090565425883,132.74774150312552,PIA
5,270.5414950306878,267.98600878517345,PIA
6,302.2381946893444,301.9853769343066,PIA
7,313.84660493827164,314.29627532121214,ALB
8,276.6975214866389,284.23335545439704,ALB
9,152.09670057973233,150.3080308342544,PIA
10,229.99371494947843,224.0657744909659,PIA
11,233.30510131490738,232.63607244862737,PIA
12,213.62214822907936,204.04586008550345,PIA
13,272.302165051529,274.394687035478,ALB
14,305.87395456701887,307.4317991806253,ALB
15,316.9605417066667,316.300069073325,PIA
16,277.6882989397691,273.30553553256874,PIA
17,223.46749158770442,225.77372502755554,ALB
18,280.53444958758934,284.25983180686984,ALB
19,310.4568482847484,311.82219713233565,ALB
20,321.22678808126983,324.5195832673016,ALB
21,304.71676033830204,305.83327210105267,ALB
22,224.44964731118296,221.5132035395749,PIA
23,271.3212358011255,272.9902422915942,ALB
24,307.1659466024038,308.2243369918638,ALB
25,316.4,,PIA
