Minisector,SAI,NOR,Fastest
0,291.94788433886623,292.60457736569856,NOR
1,301.2525104695652,302.732553919328,NOR
2,293.4091954506465,276.4379562877757,SAI
3,111.04308721419794,110.17498698096622,SAI
4,226.39094037394264,225.8819001619368,SAI
5,272.05179369179757,272.6771638366874,NOR
6,213.18546714939004,216.49699384447413,NOR
7,171.1625260474501,168.0868360920168,SAI
8,209.95543906285928,211.9420670218404,NOR
9,222.26242202103975,215.5722790792367,SAI
10,112.98927761979078,118.37484043678809,NOR
11,231.7263834820533,231.72974639519146,NOR
12,116.94371135329946,115.60049452541058,SAI
13,225.55634596943312,225.6963700918988,NOR
14,275.6808334533333,276.75748822552384,NOR
15,233.0369187263944,223.67081736322345,SAI
16,197.31499628193848,197.71216976964206,NOR
17,246.96766041559363,254.2302149049606,NOR
18,208.72884660552114,200.45272052662523,SAI
19,185.54117641639763,188.6817376048048,NOR
20,264.3299404761905,267.14671672126985,NOR
21,289.74507854057845,291.70866467817655,NOR
22,177.9158882704597,165.03084066880075,SAI
23,211.20016561558324,219.38445670438944,NOR
24,273.2211687511688,276.392455138229,NOR
