Minisector,NOR,ALO,Fastest
0,294.85579257824566,290.80753402107933,NOR
1,310.88268996208126,305.6804562229277,NOR
2,317.12822205155555,312.47702570110914,NOR
3,301.7560428152381,293.92639323089946,NOR
4,159.0908630941436,158.50084373981636,NOR
5,198.51447352156373,198.14177440293582,NOR
6,212.9500325185185,219.17384965874209,ALO
7,256.8361716709849,257.6432517507636,ALO
8,243.04690050521037,229.69700351492065,NOR
9,150.52000475515646,150.10611634985028,NOR
10,212.97613550266766,205.90738836273292,NOR
11,125.6076932388765,125.11262553869412,NOR
12,231.42538349124106,227.89644802225197,NOR
13,165.61943252000447,161.81156689799857,NOR
14,215.56839555114874,214.77264575533755,NOR
15,217.37730681565358,214.079615271342,NOR
16,251.22229221044736,251.39461524812003,ALO
17,278.07139905142856,265.72409817468804,NOR
18,143.76954491778702,134.81961550347756,NOR
19,168.25189750389143,160.03047003266093,NOR
20,138.91543716222543,139.23067269777258,ALO
21,145.98997257653662,140.08016722058792,NOR
22,105.3992966816138,107.4450721133392,ALO
23,220.6745866752877,219.22030488708626,NOR
24,261.5261250368831,260.01940112369516,NOR
