Minisector,RIC,GRO,Fastest
0,253.7993064002867,255.82689650411942,GRO
1,204.00871146706632,205.51900916438476,GRO
2,220.53360347040993,221.91674156047762,GRO
3,262.3168484957945,264.03550767701864,GRO
4,275.20459673444225,275.580843781572,GRO
5,223.6724128639586,212.49988568437834,RIC
6,99.16231164448804,95.75482442149412,RIC
7,186.53881121880167,182.2466195859538,RIC
8,268.8846696006417,278.3237908717687,GRO
9,291.7484310189974,304.1019095296295,GRO
10,301.4765281635119,314.8206207115936,GRO
11,300.7776861071241,304.92913598968363,GRO
12,116.84760504828942,103.06565051639785,RIC
13,215.179227753094,210.16109986930232,RIC
14,274.1062901571746,276.94313078159695,GRO
15,293.9452026829548,297.890765170555,GRO
16,226.4027719962829,223.57253976409976,RIC
17,123.84528126834401,122.05665426089847,RIC
18,154.0765422802305,148.84547248930846,RIC
19,251.09356127357637,255.79731451253966,GRO
20,157.8343584343864,153.32976471516116,RIC
21,130.0123374225168,125.49441761007417,RIC
22,202.92502115229098,203.32609040473207,GRO
23,209.20622379146974,198.27663212668864,RIC
24,169.19490637807286,160.55403350817875,RIC
25,,228.541664,GRO
