Minisector,LEC,RUS,Fastest
0,281.582232125673,280.62195599050494,LEC
1,297.7070296562358,295.5902950109519,LEC
2,301.0219513004329,289.2019283324445,LEC
3,176.24997447521164,177.43044641196624,RUS
4,219.85141729229971,223.9477781026274,RUS
5,205.46567162310185,203.73380179676954,LEC
6,179.2168239557914,179.5527762356524,RUS
7,205.19863294227795,207.35540080299032,RUS
8,255.12698596513766,259.05127405686153,RUS
9,263.4368385642504,263.7133555000412,RUS
10,167.79613584272604,168.59182710762394,RUS
11,235.48270020576322,239.95683482043293,RUS
12,115.85491724509737,120.81299077476861,RUS
13,224.92831036098,220.9306458172583,LEC
14,277.2640755560055,274.4138256349681,LEC
15,294.51401684855716,292.3362498618182,LEC
16,220.01636934229438,215.9493779100936,LEC
17,182.70494342620492,184.57266936639436,RUS
18,265.53550490016227,268.03234085748915,RUS
19,292.61452514110493,289.693350029932,LEC
20,302.0717755366224,300.83407271782255,LEC
21,303.6929202090582,299.92674758119426,LEC
22,278.8619416829794,270.0881606487407,LEC
23,114.95177449570349,115.74887237271545,RUS
24,237.08624125486824,238.86228156960848,RUS
25,,267.14642651428574,RUS
