Minisector,HAM,LIN,Fastest
0,288.71410527556327,286.6610577086734,HAM
1,306.72585375682087,298.07635535792207,HAM
2,280.64413037905734,277.7716888306138,HAM
3,176.68641736375005,172.81781342265634,HAM
4,116.53271243720155,116.63849517535972,LIN
5,236.4076619861336,238.41141148169817,LIN
6,297.7862333899473,283.772851499798,HAM
7,309.2454801195959,289.3484050898815,HAM
8,166.14552002301684,172.63647066905327,LIN
9,137.32006460906086,134.76971855073762,HAM
10,251.62079445056312,253.75374130289134,LIN
11,290.12497498169466,289.62717368311684,HAM
12,294.7670213458643,291.1392145522578,HAM
13,271.65309410890046,263.74891250356825,HAM
14,286.23803031757575,280.1648645524595,HAM
15,278.2456551420583,271.0615443288844,HAM
16,239.56894006440797,233.08077508403701,HAM
17,221.90941196048547,217.9160131188148,HAM
18,274.3643791258321,280.94553310644886,LIN
19,299.33437541149635,301.4403959210025,LIN
20,307.00231670022674,303.38391116718026,HAM
21,219.4931019683975,218.5438341634675,HAM
22,243.03984935114408,242.76001797411823,HAM
23,134.26614704486173,135.50842793051424,LIN
24,202.3629747661439,213.85661400372294,LIN
25,254.6750016,,HAM
