Minisector,ALO,MAG,Fastest
0,277.6751625904762,280.15915274378153,MAG
1,293.04067464126985,297.5331161904626,MAG
2,241.11984024126983,244.91185519171842,MAG
3,112.62886405286187,121.70983462359521,MAG
4,133.6628560535243,122.655822854112,ALO
5,251.05975668703397,245.14090966218512,ALO
6,244.8552084,261.3006408063985,MAG
7,125.0965627695732,121.13875120972645,ALO
8,248.45076728518052,244.4079566010412,ALO
9,264.4613815134199,262.628300834632,ALO
10,209.67978382222222,200.3778700330498,ALO
11,142.7932268902027,142.98648277660772,MAG
12,212.23692719455784,201.83290182200327,ALO
13,262.08937943720133,263.7291141334903,MAG
14,116.06853695626822,117.50270125890954,MAG
15,194.20436580063492,179.91848923333333,ALO
16,257.99346038168494,252.29058849683415,ALO
17,285.9793156495238,286.9410715936508,MAG
18,299.67969934436087,300.46833333333336,MAG
19,303.1886203524232,305.5978069894737,MAG
20,304.91833333333335,309.9041665185185,MAG
21,160.97290991195527,202.46404566883209,MAG
22,151.12157054090633,127.85474619346682,ALO
23,199.10349446881722,197.52682431509953,ALO
24,235.92236685776547,231.5154560867735,ALO
25,265.2625024,268.38472284444447,MAG
