Minisector,RIC,RUS,Fastest
0,231.19609627101815,231.18850057505736,RIC
1,285.11307124419045,282.95650048,RIC
2,312.1759126160201,296.7380987732802,RIC
3,325.15327973244695,305.0253623652174,RIC
4,282.7261886945055,259.12970198368174,RIC
5,158.53039215525968,160.0087392374616,RUS
6,254.29704315457622,260.7966636349936,RUS
7,269.27822525096127,273.7703060743838,RUS
8,212.56365887478273,207.47596828275096,RIC
9,216.1592074853665,216.83945337719695,RUS
10,178.8588113456394,172.11483600650408,RIC
11,221.5751060927078,219.23723779610737,RIC
12,202.70348693726217,194.82724770461104,RIC
13,206.01556094107596,202.22767751260503,RIC
14,214.8487462554864,209.1586915703746,RIC
15,177.44086449608398,171.11549184009115,RIC
16,239.94358105244302,243.43345490834128,RUS
17,276.92215798146503,284.8283337386667,RUS
18,283.64897633836785,297.5488299835728,RUS
19,275.16923142564104,286.1138324906667,RUS
20,131.74993031403125,127.28933139779603,RIC
21,162.22019605513782,149.97642182179808,RIC
22,144.67433404651283,145.70556213460318,RUS
23,202.2981788466077,198.13217749428,RIC
24,143.70216499254985,139.3766762352056,RIC
25,180.56667306666668,,RIC
