Minisector,RAI,ALB,Fastest
0,269.897566555486,270.0180205203021,ALB
1,287.7925158229114,289.2386081079039,ALB
2,295.84394463433813,296.98177066666665,ALB
3,130.6725740702939,130.2187350197516,RAI
4,190.77792886949612,196.184373637954,ALB
5,257.27513911300633,256.33513384602537,RAI
6,138.77739764306727,142.60530255262154,ALB
7,207.58388443748555,201.96003920183588,RAI
8,260.28131570173457,258.7757389723724,RAI
9,280.6376905715808,281.7053193322755,ALB
10,241.92336897421214,234.84787594894314,RAI
11,185.29075721125645,181.2664001844017,RAI
12,187.6366797029751,189.72611830536945,ALB
13,148.1753164560321,146.53206020148113,RAI
14,174.84359218150772,173.81503293104288,RAI
15,159.69984114542538,162.2837571580799,ALB
16,213.9715612853655,217.90976516130624,ALB
17,237.24730700846263,237.7984428176879,ALB
18,235.2697313421051,238.45053118656102,ALB
19,251.15714260573623,247.18453262154935,RAI
20,142.60691371738778,142.18977795526487,RAI
21,136.7563862702903,139.46758775976798,ALB
22,165.87231136638584,170.4256983933323,ALB
23,152.6258535380157,151.3699131299322,RAI
24,229.42973824914068,226.83524449510546,RAI
25,,257.1166677333333,ALB
