Minisector,VER,GAS,Fastest
0,290.32400995822576,290.2564982412954,VER
1,300.6795483068939,300.5311358138349,VER
2,298.9438034697143,295.48003282337,VER
3,197.10203302860637,190.2243417346263,VER
4,211.05558206922825,209.33516506024026,VER
5,201.76679668693552,203.07252321966226,GAS
6,263.72505476761904,263.61587202255646,VER
7,258.66576485256974,258.53737653024154,VER
8,218.35274945734264,211.26129785363287,VER
9,217.51697554324724,211.65673651296456,VER
10,141.09326521117524,144.63500823968468,GAS
11,205.55908369058068,205.21696743833107,VER
12,187.23679246355087,187.32084694326716,GAS
13,249.1734054129778,253.07187452623322,GAS
14,189.13839972845244,181.45930433786535,VER
15,234.3719366352735,231.39620934714557,VER
16,279.10185453779053,279.4720244792381,GAS
17,285.7369645836498,285.6530426888711,VER
18,280.74216689890466,276.08025551117845,VER
19,270.99377408304764,265.46117455085715,VER
20,267.43021530906395,260.41511151600906,VER
21,263.9432692773528,258.861413738836,VER
22,235.12628806104888,235.89800020305756,GAS
23,208.36152135547428,206.36569816104847,VER
24,269.156989249636,266.1841471868904,VER
25,,281.94499968,GAS
