Minisector,STR,VER,Fastest
0,268.47393649284857,266.4518452005442,STR
1,287.7305636097965,284.84101377244446,STR
2,295.8779144008556,287.87432963428574,STR
3,132.0718652238234,131.03556462222224,STR
4,190.1361980969095,193.57474427841413,VER
5,254.9994392205752,255.37992266020203,VER
6,142.56859696615402,145.96495908379285,VER
7,205.23830518383272,201.73277988349207,STR
8,256.15592714666667,256.77701923251334,VER
9,280.1662031558897,278.60327398453785,STR
10,237.4804988121212,245.54391228051946,VER
11,180.69846840734436,187.16042628088152,VER
12,186.6319114590941,201.74121535227053,VER
13,137.11226544155937,147.05550928603822,VER
14,176.91660983572018,174.65871207433818,STR
15,162.0017136922124,165.6072931897702,VER
16,218.39513965007592,219.46153681087364,VER
17,238.85212279932776,243.10571770088185,VER
18,242.22400304761902,243.56243765707873,VER
19,232.56337352063915,246.93903105306123,VER
20,141.95265128761906,147.34271942849207,VER
21,132.06594352510743,139.80756838425734,VER
22,173.4153621849992,167.55297523450466,STR
23,154.02024235580856,157.1740055971105,VER
24,227.08057912720977,224.5271454780606,STR
25,254.22726865454544,253.93500032,STR
