Minisector,BOT,ALO,Fastest
0,274.77508282457035,279.40654191127584,ALO
1,293.4104400935685,308.8973657136616,ALO
2,287.6460960388357,296.29101678731007,ALO
3,173.66750620468065,172.3220435845176,BOT
4,117.25738271131974,109.7143256999702,BOT
5,233.55827249165205,235.55564128502954,ALO
6,282.5497837503962,278.5520504629848,BOT
7,296.60636226405006,285.2451155903841,BOT
8,163.97354476052706,167.06902052493396,ALO
9,141.5607239736611,132.95664720983584,BOT
10,250.39567076770945,248.4031787171632,BOT
11,286.1547880064632,283.99772603141855,BOT
12,295.9152726194697,294.194959189769,BOT
13,280.0847642370419,276.21528610413276,BOT
14,297.9765216962386,295.5347343726107,BOT
15,298.11151098001943,300.0635621812105,ALO
16,248.421170603554,249.63564217283923,ALO
17,224.49328671531475,208.82597644049983,BOT
18,277.61662257680183,271.9455235187544,BOT
19,300.6878302409539,299.0195067798731,BOT
20,301.4415309970538,305.93870696928434,ALO
21,231.98541130318648,229.74791731850763,BOT
22,255.69288367097437,245.23307642534553,BOT
23,137.8662911054002,133.7333193752864,BOT
24,212.81072185051266,194.6230045599945,BOT
25,257.2333312,248.17154994569376,BOT
