Minisector,ALO,ALB,Fastest
0,301.3231646710104,284.14724986915826,ALO
1,155.27294843792015,152.66772213248112,ALO
2,148.9252239707244,148.29081190526438,ALO
3,226.806279837788,221.08596353812243,ALO
4,285.99145034444444,286.9037064510529,ALB
5,289.3553675522932,290.77462130649343,ALB
6,143.81027171084634,139.5530696944293,ALO
7,136.5403458529518,135.6853596448508,ALO
8,133.92226612705437,129.8554802906607,ALO
9,186.73565007407407,179.67243755606748,ALO
10,125.26431580999488,121.89409297499061,ALO
11,126.45197964129649,128.3773158752761,ALB
12,159.94054081823722,162.9673993227836,ALB
13,268.33945595163857,266.16786687492066,ALO
14,293.1027178666667,291.19683457838244,ALO
15,138.14810531024762,147.48985979522672,ALB
16,196.46196363330375,202.77471259634038,ALB
17,164.63615249670664,167.21053272228127,ALB
18,272.2481502374432,268.0955315517481,ALO
19,294.8507396858608,293.6705839717007,ALO
20,309.10941647375705,308.8274810327432,ALO
21,317.3128655345029,318.8437926312925,ALB
22,322.3279816171768,323.747787123473,ALB
23,325.8815908072727,326.63762499200004,ALB
24,325.5971490694737,325.55819882385856,ALO
25,323.2240667426522,322.0,ALO
