Minisector,VER,BOT,Fastest
0,258.4139558799069,259.4783976120412,BOT
1,204.43044162830137,213.9617801717655,BOT
2,225.18457431941,226.27815879412563,BOT
3,263.2815274537374,263.58132107595145,BOT
4,273.8729014067139,276.14176223384123,BOT
5,216.61599047471032,223.35402905143056,BOT
6,99.46862723084897,98.63722102801293,VER
7,182.13938754778022,186.07926995997812,BOT
8,267.891575719346,272.2631409411209,BOT
9,290.3877608284073,296.2348733251718,BOT
10,297.8276840883285,304.5284022456161,BOT
11,292.6229345792359,306.07894736842104,BOT
12,114.48449537346136,110.86992876448794,VER
13,215.7045500360351,216.61817101130146,BOT
14,275.64382465811155,284.8707757544573,BOT
15,293.9021932407403,311.22063806779465,BOT
16,227.31763128349826,248.70889870719043,BOT
17,125.99430422873245,128.24766353303391,BOT
18,153.32434191976026,160.4148499465324,BOT
19,251.07143204665496,254.82008631348899,BOT
20,157.65284925020669,167.76061811944192,BOT
21,129.02186127159965,133.02424208325345,BOT
22,207.9594213534863,199.44257648864473,VER
23,209.1021090269348,216.00258232632316,BOT
24,169.46419295913472,169.5578861893893,BOT
25,,230.24722346666667,BOT
